"Time","Hour_light","Temp_Air","Temp_Water","light_intensity","Tide_Status","Temp","tide_ID","Profile"
2024-07-19 23:00:00,"23:00",18.6079937617302,18,0,"High_Tide",18,1,"1721430000-18010000"
2024-07-20,"00:00",18.249523766482,18,0,"High_Tide",18,1,"1721433600-18010000"
2024-07-20 01:00:00,"01:00",18.0444200074602,18,0,"High_Tide",18,1,"1721437200-18010000"
2024-07-20 02:00:00,"02:00",18.0066599668922,18,0,"High_Tide",18,1,"1721440800-18010000"
2024-07-20 03:00:00,"03:00",18.1388169291413,18,0,"High_Tide",18,1,"1721444400-18010000"
2024-07-20 04:00:00,"04:00",18.4318846156298,18,0,"High_Tide",18,1,"1721448000-18010000"
2024-07-20 04:01:00,"04:00",18.4318846156298,18,0,"High_Tide",18,2,"1721448060-18010000"
2024-07-20 05:00:00,"05:00",18.865890947841,18,0,"High_Tide",18,2,"1721451600-18010000"
2024-07-20 06:00:00,"06:00",19.4112591114638,18,0,"High_Tide",18,2,"1721455200-18010000"
2024-07-20 07:00:00,"07:00",20.0308231674111,18,17.8850719411409,"High_Tide",18,2,"1721458800-18010180"
2024-07-20 08:00:00,"08:00",20.6823608491479,18,41.0424171990803,"High_Tide",18,2,"1721462400-18010410"
2024-07-20 09:00:00,"09:00",21.3214709403808,18,62.5722244055398,"High_Tide",18,2,"1721466000-18010630"
2024-07-20 10:00:00,"10:00",21.9045991445717,18,81.6207285325103,"High_Tide",18,2,"1721469600-18010820"
2024-07-20 10:01:00,"10:00",21.9045991445717,18,81.6207285325103,"High_Tide",18,3,"1721469660-18010820"
2024-07-20 11:00:00,"11:00",22.3920062382698,18,97.4325606859028,"High_Tide",18,3,"1721473200-18010970"
2024-07-20 12:00:00,"12:00",22.750476233518,18,100,"High_Tide",18,3,"1721476800-18011000"
2024-07-20 13:00:00,"13:00",22.9555799925398,18,100,"High_Tide",18,3,"1721480400-18011000"
2024-07-20 14:00:00,"14:00",22.9933400331078,18,100,"High_Tide",18,3,"1721484000-18011000"
2024-07-20 15:00:00,"15:00",22.8611830708587,18,100,"High_Tide",18,3,"1721487600-18011000"
