"Time","Hour","Hour_num","Temp_Air","Temp_Water","light_intensity","Tide_Status","Temp","tide_ID","Profile"
2024-07-09 14:00:00,"14:00",14,22.9555799925398,17,100,"Low_Tide",22.9555799925398,1,"1720533600-23001000"
2024-07-09 14:02:00,"14:02",14.0003333333333,22.9595807798626,17,100,"Low_Tide",22.9595807798626,1,"1720533720-23001000"
2024-07-09 14:04:00,"14:04",14.0006666666667,22.9633942605864,17,100,"Low_Tide",22.9633942605864,1,"1720533840-23001000"
2024-07-09 14:06:00,"14:06",14.001,22.9670201442998,17,100,"Low_Tide",22.9670201442998,1,"1720533960-23001000"
2024-07-09 14:08:00,"14:08",14.0013333333333,22.9704581548777,17,100,"Low_Tide",22.9704581548777,1,"1720534080-23001000"
2024-07-09 14:10:00,"14:10",14.0016666666667,22.9737080305024,17,100,"Low_Tide",22.9737080305024,1,"1720534200-23001000"
2024-07-09 14:12:00,"14:12",14.002,22.9767695236832,17,100,"Low_Tide",22.9767695236832,1,"1720534320-23001000"
2024-07-09 14:14:00,"14:14",14.0023333333333,22.9796424012756,17,100,"Low_Tide",22.9796424012756,1,"1720534440-23001000"
2024-07-09 14:16:00,"14:16",14.0026666666667,22.9823264444988,17,100,"Low_Tide",22.9823264444988,1,"1720534560-23001000"
2024-07-09 14:18:00,"14:18",14.003,22.9848214489526,17,100,"Low_Tide",22.9848214489526,1,"1720534680-23001000"
2024-07-09 14:20:00,"14:20",14.0033333333333,22.9871272246326,17,100,"Low_Tide",22.9871272246326,1,"1720534800-23001000"
2024-07-09 14:22:00,"14:22",14.0036666666667,22.9892435959452,17,100,"Low_Tide",22.9892435959452,1,"1720534920-23001000"
2024-07-09 14:24:00,"14:24",14.004,22.9911704017204,17,100,"Low_Tide",22.9911704017204,1,"1720535040-23001000"
2024-07-09 14:26:00,"14:26",14.0043333333333,22.9929074952246,17,100,"Low_Tide",22.9929074952246,1,"1720535160-23001000"
2024-07-09 14:28:00,"14:28",14.0046666666667,22.9944547441713,17,100,"Low_Tide",22.9944547441713,1,"1720535280-23001000"
2024-07-09 14:30:00,"14:30",14.005,22.9958120307316,17,100,"Low_Tide",22.9958120307316,1,"1720535400-23001000"
2024-07-09 14:32:00,"14:32",14.0053333333333,22.9969792515429,17,100,"Low_Tide",22.9969792515429,1,"1720535520-23001000"
2024-07-09 14:34:00,"14:34",14.0056666666667,22.9979563177166,17,100,"Low_Tide",22.9979563177166,1,"1720535640-23001000"
2024-07-09 14:36:00,"14:36",14.006,22.9987431548456,17,100,"Low_Tide",22.9987431548456,1,"1720535760-23001000"
2024-07-09 14:38:00,"14:38",14.0063333333333,22.999339703009,17,100,"Low_Tide",22.999339703009,1,"1720535880-23001000"
2024-07-09 14:40:00,"14:40",14.0066666666667,22.9997459167775,17,100,"Low_Tide",22.9997459167775,1,"1720536000-23001000"
2024-07-09 14:42:00,"14:42",14.007,22.9999617652162,17,100,"Low_Tide",22.9999617652162,1,"1720536120-23001000"
2024-07-09 14:44:00,"14:44",14.0073333333333,22.9999872318875,17,100,"Low_Tide",22.9999872318875,1,"1720536240-23001000"
2024-07-09 14:46:00,"14:46",14.0076666666667,22.9998223148521,17,100,"Low_Tide",22.9998223148521,1,"1720536360-23001000"
2024-07-09 14:48:00,"14:48",14.008,22.9994670266688,17,100,"Low_Tide",22.9994670266688,1,"1720536480-23001000"
2024-07-09 14:50:00,"14:50",14.0083333333333,22.9989213943945,17,100,"Low_Tide",22.9989213943945,1,"1720536600-23001000"
2024-07-09 14:52:00,"14:52",14.0086666666667,22.9981854595809,17,100,"Low_Tide",22.9981854595809,1,"1720536720-23001000"
2024-07-09 14:54:00,"14:54",14.009,22.9972592782725,17,100,"Low_Tide",22.9972592782725,1,"1720536840-23001000"
2024-07-09 14:56:00,"14:56",14.0093333333333,22.9961429210016,17,100,"Low_Tide",22.9961429210016,1,"1720536960-23001000"
2024-07-09 14:58:00,"14:58",14.0096666666667,22.994836472783,17,100,"Low_Tide",22.994836472783,1,"1720537080-23001000"
2024-07-09 15:00:00,"15:00",15,22.9933400331078,17,100,"Low_Tide",22.9933400331078,1,"1720537200-23001000"
2024-07-09 15:02:00,"15:02",15.0003333333333,22.9916537159358,17,100,"Low_Tide",22.9916537159358,1,"1720537320-23001000"
2024-07-09 15:04:00,"15:04",15.0006666666667,22.9897776496864,17,100,"Low_Tide",22.9897776496864,1,"1720537440-23001000"
2024-07-09 15:06:00,"15:06",15.001,22.9877119772295,17,100,"Low_Tide",22.9877119772295,1,"1720537560-23001000"
2024-07-09 15:08:00,"15:08",15.0013333333333,22.9854568558739,17,100,"Low_Tide",22.9854568558739,1,"1720537680-23001000"
2024-07-09 15:10:00,"15:10",15.0016666666667,22.983012457356,17,100,"Low_Tide",22.983012457356,1,"1720537800-23001000"
2024-07-09 15:12:00,"15:12",15.002,22.980378967826,17,100,"Low_Tide",22.980378967826,1,"1720537920-23001000"
2024-07-09 15:14:00,"15:14",15.0023333333333,22.9775565878344,17,100,"Low_Tide",22.9775565878344,1,"1720538040-23001000"
2024-07-09 15:16:00,"15:16",15.0026666666667,22.9745455323165,17,100,"Low_Tide",22.9745455323165,1,"1720538160-23001000"
2024-07-09 15:18:00,"15:18",15.003,22.9713460305756,17,100,"Low_Tide",22.9713460305756,1,"1720538280-23001000"
2024-07-09 15:20:00,"15:20",15.0033333333333,22.9679583262663,17,100,"Low_Tide",22.9679583262663,1,"1720538400-23001000"
2024-07-09 15:22:00,"15:22",15.0036666666667,22.9643826773754,17,100,"Low_Tide",22.9643826773754,1,"1720538520-23001000"
2024-07-09 15:24:00,"15:24",15.004,22.9606193562024,17,100,"Low_Tide",22.9606193562024,1,"1720538640-23001000"
2024-07-09 15:26:00,"15:26",15.0043333333333,22.9566686493387,17,100,"Low_Tide",22.9566686493387,1,"1720538760-23001000"
2024-07-09 15:28:00,"15:28",15.0046666666667,22.952530857646,17,100,"Low_Tide",22.952530857646,1,"1720538880-23001000"
2024-07-09 15:30:00,"15:30",15.005,22.9482062962331,17,100,"Low_Tide",22.9482062962331,1,"1720539000-22901000"
2024-07-09 15:32:00,"15:32",15.0053333333333,22.9436952944321,17,100,"Low_Tide",22.9436952944321,1,"1720539120-22901000"
2024-07-09 15:34:00,"15:34",15.0056666666667,22.9389981957733,17,100,"Low_Tide",22.9389981957733,1,"1720539240-22901000"
2024-07-09 15:36:00,"15:36",15.006,22.934115357959,17,100,"Low_Tide",22.934115357959,1,"1720539360-22901000"
2024-07-09 15:38:00,"15:38",15.0063333333333,22.929047152836,17,100,"Low_Tide",22.929047152836,1,"1720539480-22901000"
2024-07-09 15:40:00,"15:40",15.0066666666667,22.923793966368,17,100,"Low_Tide",22.923793966368,1,"1720539600-22901000"
2024-07-09 15:42:00,"15:42",15.007,22.9183561986053,17,100,"Low_Tide",22.9183561986053,1,"1720539720-22901000"
2024-07-09 15:44:00,"15:44",15.0073333333333,22.912734263655,17,100,"Low_Tide",22.912734263655,1,"1720539840-22901000"
