"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"1100","pisa","","Chile","Pisagua CL ","SXCH40","ADC17254","3.91","07:21","2h","5'","  [open]  ","-70.215639","-19.596907"
"1101","pisa2","","Chile","Pisagua CL ","web","","3.89","07:25","2h","5'","  [open]  ","-70.215639","-19.596907"
"1102","pisco","","Perú","Pisco,Ica PE ","web","","1.77","07:25","2h","10'","  [open]  ","-76.25194","-13.8194"
"1103","pitx","","USA","Port Isabel TX ","SXXX03","336950AA","","","","6'","  [open]  ","-97.215","26.06"
"1104","pkem","","Australia","Port Kembla AU ","SZAU01","60420","1.14","07:26","2h","3'","  [open]  ","150.9119","-34.4738"
"1105","PL14","","Italy","Palinuro ","web","","0.14","07:23","2h","5'","  [open]  ","15.275291666667","40.029911111111"
"1107","plat2","192","Argentina","Mar del Plata ","SEPO40","3542B4D2","9.59","07:19","2h","15'","  [open]  ","-57.53850556","-38.00015278"
"1108","PLBR","","Italy","Stromboli Punta Labronzo ","bgan","","","","","0.16'","  [open]  ","15","38"
"1110","plmy","","USA","Palmyra Island ","SZXX01","300434068595920","6.3","07:20","2h","5'","  [open]  ","-162.09","5.89"
"1112","plop","","Ecuador","Puerto López ","web","","3.27","07:09","2h","10'","  [open]  ","-80.817","-1.561"
"1114","plym","","UK","Plymouth ","ftp","","5.07","07:00","2h","15'","  [open]  ","-4.19","50.37"
"1115","pmel","","Chile","Puerto Melinka CL ","SXCH40","14000FDE","4.87","07:24","2h","5'","  [open]  ","-73.748199","-43.898463"
"1116","pmel2","","Chile","Puerto Melinka CL ","web","","4.92","07:08","2h","5'","  [open]  ","-73.748199","-43.898463"
"1117","pmon","178","Chile","Puerto Montt CL ","SXCH40","ADC08EF8","8.24","07:24","2h","5'","  [open]  ","-72.960858","-41.484931"
"1118","pmon2","178","Chile","Puerto Montt CL ","web","","8.36","07:23","2h","5'","  [open]  ","-72.960858","-41.484931"
"1119","pmur","","Australia","PtMurat ","SZAU01","62430","1.07","07:26","2h","10'","  [open]  ","114.191","-21.8167"
"1120","pnat","","Chile","Puerto Natales CL ","SXCH40","ADC04534","3.81","07:21","2h","5'","  [open]  ","-72.51567","-51.729134"
"1121","pnat2","","Chile","Puerto Natales CL ","web","","3.93","07:20","2h","5'","  [open]  ","-72.51567","-51.729134"
"1122","pnfl","288","USA","Pensacola FL ","web","33A02AD0","0.39","07:30","2h","6'","  [open]  ","-87.212","30.403"
"1123","pnfl2","288","USA","Pensacola FL ","SXXX03","33A02AD0","-4.04","07:20","2h","6'","  [open]  ","-87.212","30.403"
"1126","PO40","","Italy","Ponza ","web","","0.12","07:23","2h","5'","  [open]  ","12.965588888889","40.895177777778"
"1128","porf","","USA","Port Orford OR ","SXXX03","33685250","","","","6'","  [open]  ","-124.497","42.737"
"1129","porl","55","Australia","Portland AU ","SZAU01","61410","0.53","07:26","2h","3'","  [open]  ","141.6132","-38.3434"
"1130","poro","","Russia","Poronajsk ","web","","1.89","07:14","2h","10'","  [open]  ","143.09","49.22"
"1131","porp","","UK","Portpatrick ","ftp","","0.78","06:45","2h","15'","  [open]  ","-5.12","54.84"
"1133","port","","France","Port-Bloc ","ftp","","3.23","07:22","2h","5'","  [open]  ","-1.06157","45.5685"
"1134","port2","","France","Port-Bloc2 ","SZFR01","FR015","3.28","07:18","2h","6'","  [open]  ","-1.06157","45.5685"
"1136","posi","","Russia","Pos'et ","web","","4.44","07:14","2h","10'","  [open]  ","130.8","42.65"
"1140","prat","189","Chile","Base Prat ","SXCH40","ADC05642","0.75","03:46","5h","5'","  [open]  ","-59.662899","-62.479267"
"1141","prat3","189","Chile","Base Prat ","web","","1.91","07:11","2h","5'","  [open]  ","-59.662899","-62.479267"
"1142","prba","","Guatemala","Puerto Barrios ","SOGU40","96500162","-999","07:23","2h","5'","  [open]  ","-88.622018","15.694618"
"1143","prch","","Guatemala","Puerto Champerico ","SOGU40","9650278E","0.01","07:15","2h","5'","  [open]  ","-91.915789","14.296682"
"1144","prec","","Martinique","Le Prêcheur ","SOMR10","12A011E0","0.01","07:22","2h","5'","  [open]  ","-61.226588","14.80758"
"1145","preo","","Russia","Preobrazheniye ","web","","2.01","07:15","2h","10'","  [open]  ","133.922482","42.909229"
"1146","prev","","Greece","Preveza, Epirus ","bgan","GR-PREV-00","0.01","09:09","1'","1'","  [open]  ","20.728663","38.94946"
"1148","pric","","Grenada","Prickly Bay, Grenada ","SEPO40","3541B3DC","5.92","07:21","2h","5'","  [open]  ","-61.764828","12.005392"
"1151","prin2","155","Canada","Prince Rupert ","web","","5.21","07:24","2h","10'","  [open]  ","-130.3167","54.3167"
"1152","prog","213","Mexico","Progreso, Yuc ","ftp","","5.68","07:20","2h","15'","  [open]  ","-89.666667","21.303333"
"1153","prog2","213","Mexico","Progreso, Yuc ","SOMX10","01029134","5.66","07:10","2h","15'","  [open]  ","-89.666667","21.303333"
"1154","prsc","","USA","Springmaid Pier SC ","SXXX03","336620A8","","","","6'","  [open]  ","-78.918","33.655"
"1155","prsj","","Guatemala","Puerto San José ","SOGU40","9650511E","0.01","07:24","2h","5'","  [open]  ","-90.801041","13.922205"
"1157","PRTP","","Italy","Portopalo di Capo Passero ","web","","0.24","07:28","2h","0.25'","  [open]  ","15.112338","36.666308"
"1158","prud","151","USA","Prudhoe Bay AK ","web","33611706","0.68","07:27","2h","6'","  [open]  ","-148.51","70.388"
"1159","prud2","151","USA","Prudhoe Bay AK ","SXXX03","33625302","-3.65","07:15","2h","6'","  [open]  ","-148.51","70.388"
"1160","prus","","UK","Portrush ","ftp","","1.9","06:45","2h","15'","  [open]  ","-6.66","55.21"
"1161","prvc","","Turks & Caicos Islands","TCI Providenciales Water Level Station ","SOTI10","C7900094","","","","6'","  [open]  ","-72.284914","21.740995"
"1162","psai","","Egypt","Port Saïd ","bgan","EG-PSAI-00","4.19","2024-04-12 11:11","144d","1'","  [open]  ","32.309166","31.258333"
"1163","psan","","Nicaragua","Puerto Sandino ","bgan","NI-psan-00","3.41","2021-02-05 17:22","1306d","1'","  [open]  ","-86.765","12.201"
"1164","PSCA","","Italy","Pantelleria (Scauri) ","web","","-0.27","07:28","2h","0.25'","  [open]  ","11.96355","36.76863"
"1167","psla","","USA","Pilots Station East, SW Pass, LA ","web","","0.55","07:24","2h","6'","  [open]  ","-89.4067","28.9317"
"1168","psla2","","USA","Pilots Station East, SW Pass, LA ","SXXX03","336A44D2","-4.59","07:14","2h","6'","  [open]  ","-89.4067","28.9317"
"1169","pslu","","USA","Port San Luis CA ","web","336A07D8","1.29","07:39","2h","6'","  [open]  ","-120.753","35.168"
"1170","pslu2","","USA","Port San Luis CA ","SXXX03","336A07D8","-4.12","07:15","2h","6'","  [open]  ","-120.753","35.168"
"1171","PT17","","Italy","Porto Torres ","web","","0.32","07:23","2h","5'","  [open]  ","8.4039","40.8422"
"1172","ptal","","Chile","Puerto Aldea CL ","SXCH40","ADC0802A","3.46","07:24","2h","5'","  [open]  ","-71.607564","-30.2923"
"1173","ptal2","","Chile","Puerto Aldea CL ","web","","3.45","07:22","2h","5'","  [open]  ","-71.607564","-30.2923"
"1174","ptan","","Mexico","Puerto Angel ","SOMX10","0100F126","5.15","07:11","2h","30'","  [open]  ","-96.4916667","15.6653667"
"1175","ptan2","","Mexico","Puerto Angel ","ftp","","5.17","07:23","2h","15'","  [open]  ","-96.4916667","15.6666667"
"1176","ptar","","Chile","Punta Arenas CL ","SXCH40","ADC06D0A","4.67","07:24","2h","5'","  [open]  ","-70.861985","-53.123727"
"1177","ptar2","","Chile","Punta Arenas CL ","web","","5.22","07:23","2h","15'","  [open]  ","-70.861985","-53.123727"
"1178","ptbc","","France","Port-de-Bouc ","ftp","","0.66","07:25","2h","5'","  [open]  ","4.982778","43.398056"
"1179","ptbc2","","France","Port-de-Bouc2 ","SZFR01","FR720","0.65","07:11","2h","6'","  [open]  ","4.982778","43.398056"
"1180","ptbl","38","India","Port Blair ","ftp","43332","0.93","07:06","2h","10'","  [open]  ","92.76","11.68"
"1181","ptca","","Dominican Republic","Punta Cana ","SEPO40","354041A2","5.63","07:22","2h","5'","  [open]  ","-68.375519","18.504603"
"1182","ptch","","Chile","Punta de Choros CL ","SXCH40","ADC063D8","3.66","07:22","2h","5'","  [open]  ","-71.46865","-29.245858"
"1183","ptch2","","Chile","Punta de Choros CL ","web","","","","","5'","  [open]  ","-71.46865","-29.245858"
"1184","ptfe","","France","Port Ferréol ","ftp","","0.68","07:24","2h","5'","  [open]  ","6.7175","43.35917"
"1185","ptfe2","","France","Port Ferréol 2 ","SZFR01","FR0847","0.68","07:15","2h","6'","  [open]  ","6.7175","43.35917"
"1187","ptis","","UK","Port Isaac ","web","","1.98","07:28","2h","0.1666'","  [open]  ","-4.83441","50.59417"
"1188","ptln","","France","Port-La-Nouvelle ","ftp","","0.71","07:24","2h","5'","  [open]  ","3.0372","43.0092"
"1189","ptln2","","France","Port-la-Nouvelle 2 ","SZFR01","FR0803","0.7","07:15","2h","6'","  [open]  ","3.0372","43.0092"
"1190","ptlu","18","Mauritius","Pt.Louis ","SXXX32","165B3038","1.49","07:19","2h","6'","  [open]  ","57.5043","-20.15716"
"1193","ptmd2","","Dominica island","Portsmouth, Dominica ","SODO10","6B0025A6","3.53","07:20","2h","5'","  [open]  ","-61.4582","15.5768"
"1194","ptme","","USA","Portland ME ","SXXX03","335F0668","-4.1","07:15","2h","6'","  [open]  ","-70.2466","43.6566"
"1195","ptmt","","UK","Portsmouth ","ftp","","2.09","07:00","2h","15'","  [open]  ","-1.11","50.8"
"1197","ptos2","201","Brasil","Porto de Santana ","web","","2.31","2024-04-24 23:50","131d","10'","  [open]  ","-51.167778","-0.061389"
"1198","ptow","","USA","Port Townsend WA ","SXXX03","336B9040","","","","1'","  [open]  ","-122.758","48.101"
"1199","ptpl","","Dominican Republic","Puerto Plata ","SEPO40","35407438","6.68","07:22","2h","5'","  [open]  ","-70.702011","19.798794"
"1201","ptpt","","France","Pointe à Pitre, Guadeloupe ","ftp","","0.64","2024-04-28 22:25","127d","5'","  [open]  ","-61.531452","16.224398"
"1202","ptpt2","","France","Pointe à Pitre, Guadeloupe 2 ","SZCA01","FR125","0.36","2023-11-09 13:26","299d","6'","  [open]  ","-61.531452","16.224398"
"1203","ptre","","USA","Point Reyes CA ","SXXX03","3363B20A","","","","6'","  [open]  ","-122.975","37.997"
"1205","ptsc","","Barbados","Port St. Charles ","SOBR10","BAB00078","0.01","07:21","2h","5'","  [open]  ","-59.644853","13.262981"
"1206","ptsp","203","Trinidad & Tobago","Port of Spain ","SOTD10","A9C000B6","2.77","06:32","3h","1h","  [open]  ","-61.51666","10.65"
"1207","ptve","","France","Port-Vendres ","ftp","","0.64","07:24","2h","5'","  [open]  ","3.10733","42.5201"
"1208","ptve2","","France","Port-Vendres2 ","SZFR01","FR0075","0.65","07:20","2h","6'","  [open]  ","3.10733","42.5201"
"1209","puer2","","Mexico","Puerto Vallarta2 ","SOMX10","0100B22C","3.76","07:21","2h","10'","  [open]  ","-105.2428667","20.6579333"
"1210","puert","","Mexico","Puerto Vallarta ","ftp","","3.75","07:23","2h","15'","  [open]  ","-105.2428667","20.6579333"
"1211","pumo","","Mexico","Puerto Morelos, Q. R. ","ftp","","0.01","2024-08-21 22:37","12d","10'","  [open]  ","-86.86684","20.86813"
"1212","pumo2","","Mexico","Puerto Morelos ","SOMX10","010F1446","-0.26","2024-05-22 00:26","104d","10'","  [open]  ","-86.86684","20.86813"
"1213","puna","","Ecuador","Puná ","web","","2.63","07:09","2h","10'","  [open]  ","-79.912","-2.735"
"1214","puyt","","New Zealand","Puysegur Welcome Bay ","SZNZ01","PUYT","5.72","07:22","2h","3'","  [open]  ","166.5894083","-46.0847836"
"1215","pwil","","Chile","Puerto Williams CL ","SXCH40","ADC1A43C","4.49","07:21","2h","5'","  [open]  ","-67.608217","-54.932875"
"1216","pwil2","","Chile","Puerto Williams CL ","web","","5.01","07:25","2h","15'","  [open]  ","-67.608217","-54.932875"
"1217","qaqo","344","Greenland","Qaqortoq, Julianehab ","ftp","","0.06","07:24","2h","1'","  [open]  ","-46.035","60.7176"
"1218","qcbc","","Canada","Queen Charlotte ","SXAK50","CD404E30","5.46","07:28","2h","5'","  [open]  ","-132.066667","53.25"
"1219","qing","","China","Qinglan ","SZCI01","11742","1.03","2024-08-18 20:01","16d","5'","  [open]  ","110.82","19.57"
"1220","qtro","","Chile","Quintero CL ","SXCH40","ADC2662C","3.46","07:21","2h","5'","  [open]  ","-71.525427","-32.775493"
"1221","qtro2","","Chile","Quintero CL ","web","","3.39","07:25","2h","5'","  [open]  ","-71.525427","-32.775493"
"1223","quar","77","Hong Kong - China","Quarry Bay ","SEHK40","QUARYBAY","-999","07:15","2h","10'","  [open]  ","114.2133333","22.2911111"
"1224","quel","","Chile","Queule CL ","SXCH40","ADC1E736","3.13","07:22","2h","5'","  [open]  ","-73.215057","-39.39762"
"1225","quel2","","Chile","Queule CL ","web","","3.29","07:26","2h","5'","  [open]  ","-73.215057","-39.39762"
"1226","quepo","167","Costa Rica","Quepos ","SZXX01","300434066949590","5.78","07:19","2h","5'","  [open]  ","-84.1702","9.4255"
"1227","quin","75","Viet Nam","Qui Nhon ","SZXX01","300434064206280","1.24","07:20","2h","6'","  [open]  ","109.2543","13.7751"
"1228","quir","","Chile","Quiriquina CL ","SXCH40","ADC2755A","4.16","07:21","2h","5'","  [open]  ","-73.057257","-36.636139"
"1229","quir2","","Chile","Quiriquina CL ","web","","4.23","07:20","2h","5'","  [open]  ","-73.057257","-36.636139"
"1230","qura","","Oman","Qurayat ","SXOM33","1842C770","0.15","07:19","2h","6'","  [open]  ","58.925","23.26"
"1231","RA10","","Italy","Ravenna ","web","","0.22","07:23","2h","5'","  [open]  ","12.282936111111","44.492075"
"1233","rangi","355","France","Rangiroa Atoll (Tuamotu, French Polynesia) ","SEHI40","B1F00280","0.32","07:23","2h","15'","  [open]  ","-147.706037917","-14.945834667"
"1234","raro","139","Cook Islands","Rarotonga CK ","SZPS01","65980","0.87","07:26","2h","3'","  [open]  ","-159.783","-21.2"
"1236","rata","","Sweden","Ratan ","web","","0.07","07:00","2h","1h","  [open]  ","20.895","63.986111"
"1237","rbct","","New Zealand","Raoul Island Boat Cove ","SZNZ01","RBCT","6.44","07:22","2h","3'","  [open]  ","-177.8944","-29.280016"
"1238","RC09","","Italy","Reggio Calabria ","web","","-0.13","07:23","2h","5'","  [open]  ","15.648916666667","38.121719444444"
"1239","RCCL","","Italy","Roccella Jonica ","web","","-0.08","07:28","2h","0.25'","  [open]  ","16.43233","38.327075"
"1240","redg","","USA","Red Dog Dock, AK ","SXXX03","334896A0","","","","6'","  [open]  ","-164.065","67.065"
"1241","redw","","USA","Redwood City CA ","SXXX03","3362F3FA","","","","6'","  [open]  ","-122.21","37.5067"
"1242","reun","17","France","Pointe des Galets (Reunion Island) ","ftp","","0.67","07:25","2h","5'","  [open]  ","55.28","-20.92"
"1243","reun2","17","France","Pointe des Galets (Reunion Island) 2 ","SZIO02","FR110","0.66","07:15","2h","15'","  [open]  ","55.28","-20.92"
"1244","reyk","229","Iceland","Reykjavik ","ftp","","1.46","2020-03-20 12:28","1628d","1h","  [open]  ","-21.93333","64.15"
"1245","rfrt","","New Zealand","Raoul Island Fishing Rock ","SZNZ01","RFRT","4.33","07:22","2h","3'","  [open]  ","-177.903842","-29.251144"
"1247","ring","","Sweden","Ringhals ","web","","0.04","07:00","2h","1h","  [open]  ","12.1125","57.249722"
"1248","rodr","19","Mauritius","Rodrigues ","SXXX32","16590056","2.45","07:15","2h","6'","  [open]  ","63.42119","-19.68024"
"1249","rorv","234","Norway","Rørvik ","web","","1.18","07:20","2h","10'","  [open]  ","11.230107","64.859456"
"1250","rosc","","France","Roscoff ","ftp","","7.04","07:25","2h","5'","  [open]  ","-3.9655555555556","48.718611111111"
"1251","rosc2","","France","Roscoff 2 ","SZFR01","FR054","7.26","07:14","2h","6'","  [open]  ","-3.966","48.716"
"1252","rose","","Dominica island","Roseau ","SEPO40","354097CA","6.21","07:23","2h","5'","  [open]  ","-61.3891833","15.31385"
"1253","ross","","Australia","Rosslyn Bay AU ","SZAU01","59670","1.76","07:26","2h","3'","  [open]  ","150.7902","-23.161"
"1255","rothe","342","Antarctica","Rothera ","SEMS40","6B000D98","2.01","07:23","2h","15'","  [open]  ","-68.1333","-67.5667"
"1256","rous","","France","Ile Rousse ","ftp","","0.65","07:25","2h","5'","  [open]  ","8.938056","42.635556"
"1257","rous2","","France","Ile Rousse2 ","SZFR01","FR0802","0.51","2024-06-28 05:05","67d","6'","  [open]  ","8.938056","42.635556"
"1258","rptx","","USA","Rockport TX ","SXXX03","3369354C","","","","6'","  [open]  ","-97.0466","28.0216"
"1260","rudn","","Russia","Rudnaya Pristan ","web","","3.82","07:15","2h","10'","  [open]  ","135.8","44.35"
"1261","SA16","","Italy","Salerno ","web","","0.1","07:23","2h","5'","  [open]  ","14.750838888889","40.676641666667"
"1263","saba","347","Indonesia","Sabang ","SZID45","0650B200","-2.22","07:20","2h","6'","  [open]  ","95.3333","5.8333"
"1265","sado","","Japan","Sado ","SWJP40","SADO","2.19","07:19","2h","10'","  [open]  ","138.52","38.32"
"1266","sadp","","Indonesia","Sadeng Port (IDSL) ","bgan","SADP","-0.01","2023-11-26 02:45","282d","1'","  [open]  ","110.799053","-8.190314"
"1268","sagu","","Spain","Sagunto ","ftp","","0.12","07:22","2h","4'","  [open]  ","-0.20624","39.63392"
"1270","saig","","Japan","Saigo ","SWJP40","SAIGO","2.33","07:19","2h","10'","  [open]  ","133.33","36.2"
"1271","sain","","France","Saint-Nazaire ","ftp","","3.36","07:24","2h","5'","  [open]  ","-2.2","47.26"
"1272","sain2","","France","Saint-Nazaire 2 ","SZFR01","FR037","3.47","07:18","2h","6'","  [open]  ","-2.2","47.26"
"1273","saip","118","USA","Saipan US ","SZXX01","300434066941730","1.13","07:20","2h","6'","  [open]  ","145.7416","15.2266"
"1274","sala","4","Oman","Salalah ","SXXX33","1605C096","3.58","07:21","2h","6'","  [open]  ","54.0067","16.935"
"1275","salav","","Perú","Salaverry,Trujillo PE ","web","","2.45","2024-05-16 14:22","110d","10'","  [open]  ","-78.9816","-8.2277"
"1276","sali","","Mexico","Salina Cruz, Oax. ","ftp","","1.61","07:11","2h","10'","  [open]  ","-95.196842","16.168436"
"1277","sali2","","Mexico","Salina Cruz, Oax. ","SOMX10","0103703C","1.64","07:16","2h","5'","  [open]  ","-95.196842","16.168436"
"1278","salv","334","Brasil","Salvador (Capitania dos Portos da Bahia) ","SEPA40","354052D4","7.3","07:21","2h","5'","  [open]  ","-38.516667","-12.967333"
"1279","Salv2","334","Brasil","Salvador ","SEPO40","B5B014A2","21.09","07:22","2h","5'","  [open]  ","-38.516667","-12.967333"
"1280","salv3","334","Brasil","Capitania dos Portos ","web","","5.85","2024-08-27 19:21","7d","10'","  [open]  ","-38.517222","-12.973889"
"1281","sama","","Colombia","Santa Marta ","SEPO40","35419530","6.5","07:20","2h","5'","  [open]  ","-74.221572","11.235156"
"1282","sama2","","Colombia","Santa Marta 2 ","SEPO40","354084BC","0.01","07:23","2h","5'","  [open]  ","-74.221572","11.235156"
"1283","sams","","Turkey","Samsun ","web","","1.29","2023-05-19 15:54","473d","2'","  [open]  ","36.337459564209","41.294898986816"
"1284","san2","","Spain","Santander ","ftp","","2.35","07:22","2h","4'","  [open]  ","-3.79076","43.4613"
"1285","sana","","Colombia","San Andres ","SEPO40","35418646","5.39","07:20","2h","5'","  [open]  ","-81.701492","12.569489"
"1287","sand","","USA","San Diego CA ","SXXX03","336275EE","-2.7","07:17","2h","6'","  [open]  ","-117.173","32.713"
"1288","Sandn","","Norway","Sandnes ","web","","0.74","07:20","2h","10'","  [open]  ","5.746613","58.868232"
"1289","sanf","177","Chile","San Felix CL ","SXCH40","ADC09D8E","4.89","07:20","2h","5'","  [open]  ","-80.108548","-26.292215"
"1290","sanf3","","Chile","San Felix CL ","web","","5.02","07:23","2h","5'","  [open]  ","-80.108548","-26.292215"
"1291","sanj","206","USA","San Juan PR ","web","335CA19E","0.21","07:39","2h","6'","  [open]  ","-66.1167","18.4617"
"1292","sanj2","206","USA","San Juan PR ","SXXX03","335CA19E","-2.77","07:15","2h","6'","  [open]  ","-66.1167","18.4617"
"1293","sanm","","USA","Santa Monica CA ","SXXX03","3362D516","","","","6'","  [open]  ","-118.5","34.008"
"1294","sano","","Chile","San Antonio CL ","SXCH40","ADC070AE","4.14","07:24","2h","5'","  [open]  ","-71.618188","-33.581625"
"1295","sano2","","Chile","San Antonio CL ","web","","4.16","07:23","2h","5'","  [open]  ","-71.618188","-33.581625"
"1298","sant","","Ecuador","SantaCruz,Galapagos ","SEEQ40","932085F0","6.96","07:21","2h","5'","  [open]  ","-90.307","-0.752"
"1300","sapz","","Colombia","Sapzurro ","ftp","","1.14","07:11","2h","5'","  [open]  ","-77.3652777778","8.66027777778"
"1301","sapz2","","Colombia","Sapzurro ","SXCO41","15A045F2","1.1","07:24","2h","5'","  [open]  ","-77.3652777778","8.66027777778"
"1302","sass","","Germany","Sassnitz ","web","","5.22","07:24","2h","5'","  [open]  ","13.643056","54.510833"
"1304","SB36","","Italy","S.Benedetto Del Tronto ","web","","-0.05","07:23","2h","5'","  [open]  ","13.889758333333","42.955122222222"
"1305","sbea","157","USA","South Beach OR ","web","3368974E","2.48","07:39","2h","6'","  [open]  ","-124.043","44.625"
"1306","sbea2","157","USA","South Beach OR ","SZPZ34","SBEO3","2.43","07:15","2h","6'","  [open]  ","-124.043","44.625"
"1307","SC43","","Italy","Sciacca ","web","","0.01","07:23","2h","5'","  [open]  ","13.076455555556","37.504541666667"
"1309","sche","","Netherlands","Scheveningen ","web","","-0.08","07:00","2h","10'","  [open]  ","4.2631733323","52.0989322615"
"1310","scoa","","France","Socoa ","ftp","","2.06","07:24","2h","4'","  [open]  ","-1.68162","43.3952"
"1311","scoa2","","France","Socoa2 ","SZFR01","FR095","2.15","07:18","2h","6'","  [open]  ","-1.68162","43.3952"
"1312","scor","315","Greenland","Ittoqqortoormiit, Scoresbysund ","ftp","","-0.3","07:25","2h","1'","  [open]  ","-21.962","70.4838"
"1313","sdom","","Dominican Republic","Santo Domingo/p.San Andres ","SXDR40","3341059E","","07:20","2h","6'","  [open]  ","-69.6294","18.4208"
"1314","sdpr","","UK","Sandown Pier ","web","","-0.29","07:28","2h","0.1666'","  [open]  ","-1.15316","50.65111"
"1315","sdpt","100","USA","Sand Point AK ","web","33602066","1.26","07:34","2h","6'","  [open]  ","-160.5017","55.3367"
"1316","sdpt2","100","USA","Sand Point AK ","SXXX03","33602066","-3.03","07:22","2h","6'","  [open]  ","-160.5017","55.3367"
"1319","seld","","USA","Seldovia AK ","SXXX03","335FD000","","","","1h","  [open]  ","-151.717","59.437"
"1320","sema","","Indonesia","Semarang ","SZID53","","-2.8","07:17","2h","15'","  [open]  ","110.42012","-6.9479"
"1321","sete","","France","Sète ","ftp","","0.66","07:24","2h","5'","  [open]  ","3.69911","43.3976"
"1322","sete2","","France","Sete 2 ","SZFR01","FR250","0.66","07:17","2h","6'","  [open]  ","3.69911","43.3976"
"1323","setp1","211","Bahamas","Settlement pt ","SZXX01","300434068599910","1","07:20","2h","5'","  [open]  ","-78.98333","26.6833324"
"1325","sev2","","Spain","Sevilla ","ftp","","1.36","07:22","2h","4'","  [open]  ","-6.00772","37.31849"
"1328","sewa","150","USA","Seward AK ","web","3362856A","2.17","07:35","2h","6'","  [open]  ","-149.427","60.119"
"1329","sewa2","150","USA","Seward AK ","SXXX03","3362856A","-5.85","07:17","2h","6'","  [open]  ","-149.427","60.119"
"1330","shee","","UK","Sheerness ","ftp","","1.09","07:00","2h","15'","  [open]  ","0.74","51.45"
"1331","shee2","","UK","Sheerness ","ftp","","-8.1","07:14","2h","15'","  [open]  ","0.74","51.45"
"1332","shek","","Hong Kong - China","Shek Pik ","SEHK40","SHEK_PIK","-999","07:15","2h","10'","  [open]  ","113.894444","22.220278"
"1333","shen","","China","Shenzhen ","SZCI01","09733","2.24","2024-08-18 20:01","16d","5'","  [open]  ","113.88","22.47"
"1334","shnj","","USA","Sandy Hook NJ ","SXXX03","33668050","","","","6'","  [open]  ","-74.01","40.47"
"1336","sian","","Mexico","Sian Ka'an ","ftp","","3.02","07:02","2h","15'","  [open]  ","-87.4463333","19.3126667"
"1337","sian2","","Mexico","Sian Ka'an2 ","SOMX10","01015324","3.03","06:02","3h","1h","  [open]  ","-87.4460833","19.3126333"
"1340","siga","","USA","St Simons Is GA ","SXXX03","334F87E2","","","","3h","  [open]  ","-81.4","31.13"
"1341","sile","","Turkey","Sile ","web","","2.12","07:24","2h","2'","  [open]  ","29.60394859314","41.179832458496"
"1342","simd","","USA","Solomons Island MD ","SXXX03","3367D2D6","","","","6'","  [open]  ","-76.4516","38.3166"
"1343","simp","","Sweden","Simpevarp ","web","","0.15","07:00","2h","1h","  [open]  ","16.675833","57.410278"
"1344","simr","","Sweden","Simrishamn ","web","","0.28","07:00","2h","1h","  [open]  ","14.357778","55.5575"
"1345","sino","","Turkey","Sinop ","web","","1.54","07:24","2h","2'","  [open]  ","35.15","42.016667"
"1346","sire","","Norway","Sirevåg ","web","","0.53","07:20","2h","10'","  [open]  ","5.791602","58.5052"
"1347","sisa","","Mexico","Sisal ","ftp","","2.11","2024-08-30 15:11","4d","1d","  [open]  ","-90.0483333","21.1616667"
"1349","sitk","154","USA","Sitka AK ","web","33625302","2.28","07:39","2h","6'","  [open]  ","-135.3417","57.0517"
"1350","sitk2","154","USA","Sitka AK ","SXXX03","336056F6","-4.71","07:22","2h","6'","  [open]  ","-135.3417","57.0517"
"1351","sitt","37","Myanmar","Sittwe ","SZBM41","0650C490","5.23","07:24","2h","6'","  [open]  ","92.9","20.15"
"1353","sjuan","","Perú","San Juan de Marcona,Ica PE ","web","","1.67","07:00","2h","10'","  [open]  ","-75.16027","-15.35527"
"1354","skag","","USA","Skagway AK ","SXXX03","33637714","","","","6'","  [open]  ","-135.3267","59.45"
"1355","skagk","","Sweden","Skagsudde2 ","web","","0.03","07:00","2h","1h","  [open]  ","19.0125","63.190556"
"1356","skan","","Sweden","Skanor ","web","","0.39","07:00","2h","1h","  [open]  ","12.829722","55.416667"
"1357","slds","","Haïti","St. Louis du Sud ","SEHA10","49A00950","14.08","07:21","2h","5'","  [open]  ","-73.618","18.227"
"1359","slor","","Ecuador","San Lorenzo ","web","","4.73","06:59","2h","10'","  [open]  ","-78.836194","1.293352"
"1360","smag","","Mexico","Sánchez Magallanes ","ftp","","3.23","07:12","2h","10'","  [open]  ","-93.85455","18.2967667"
"1361","smag2","","Mexico","Sánchez Magallanes2 ","SOMX10","010166BE","3.22","06:02","3h","1h","  [open]  ","-93.85455","18.2967667"
"1362","smar","","France","Sainte Marie (Reunion island) ","ftp","","4.43","07:24","2h","5'","  [open]  ","55.536944","-20.892778"
"1363","smar2","","France","Sainte Marie (Reunion island) 2 ","SZIO01","FR832","4.43","07:15","2h","15'","  [open]  ","55.536944","-20.892778"
"1364","smog","","Sweden","Smogen ","web","","-0.02","07:00","2h","1h","  [open]  ","11.217778","58.353611"
"1365","smth","","Greece","Samothraki, East Macedonia and Thrace ","bgan","GR-SMTH-00","0.01","2023-12-20 13:27","258d","1'","  [open]  ","25.46797","40.4746"
"1366","sobr","","Croatia","Sobra ","web","","-0.09","07:20","2h","10'","  [open]  ","17.62","42.793"
"1367","sola","","Colombia","Bahia Solano ","ftp","","4.91","2024-05-08 06:18","118d","10'","  [open]  ","-77.41194","6.232778"
