"Date_chr","StationName","LAT","LON","Temperature","Dewpoint","Humidity","WindSpeed","Date"
"20020627","NOIRMOUTIER EN",47.004667,-2.257167,16.8291666666667,10.5958333333333,68.0416666666667,5.16666666666667,2002-06-27
"20020628","NOIRMOUTIER EN",47.004667,-2.257167,16.1625,9.17083333333333,64.25,5.29166666666667,2002-06-28
"20020629","NOIRMOUTIER EN",47.004667,-2.257167,15.35,9.92083333333333,70.4583333333333,4.875,2002-06-29
"20020630","NOIRMOUTIER EN",47.004667,-2.257167,15.7083333333333,10.5958333333333,72,4.33333333333333,2002-06-30
"20020701","NOIRMOUTIER EN",47.004667,-2.257167,15.6833333333333,12.7458333333333,82.8333333333333,7.625,2002-07-01
"20020702","NOIRMOUTIER EN",47.004667,-2.257167,16.1916666666667,12.1125,76.9583333333333,7.875,2002-07-02
"20020703","NOIRMOUTIER EN",47.004667,-2.257167,16.0125,13.05,83.0416666666667,9.91666666666667,2002-07-03
"20020704","NOIRMOUTIER EN",47.004667,-2.257167,15.7291666666667,11.0458333333333,74.0416666666667,5.04166666666667,2002-07-04
"20020705","NOIRMOUTIER EN",47.004667,-2.257167,15.4416666666667,13.2916666666667,87.125,6.375,2002-07-05
"20020706","NOIRMOUTIER EN",47.004667,-2.257167,15.95,12.2083333333333,78.7916666666667,5.41666666666667,2002-07-06
"20020707","NOIRMOUTIER EN",47.004667,-2.257167,16.175,11.4708333333333,74.75,2.75,2002-07-07
"20020708","NOIRMOUTIER EN",47.004667,-2.257167,16.8291666666667,13.4166666666667,80.5,4.16666666666667,2002-07-08
"20020709","NOIRMOUTIER EN",47.004667,-2.257167,16.6458333333333,13.6958333333333,83.25,6.375,2002-07-09
"20020710","NOIRMOUTIER EN",47.004667,-2.257167,16.2916666666667,11.4083333333333,73.125,5.25,2002-07-10
"20020711","NOIRMOUTIER EN",47.004667,-2.257167,16.4458333333333,11.3875,72.375,4,2002-07-11
"20020712","NOIRMOUTIER EN",47.004667,-2.257167,16.9541666666667,14.1625,83.7916666666667,5.41666666666667,2002-07-12
"20020713","NOIRMOUTIER EN",47.004667,-2.257167,16.6166666666667,11.9,74.0416666666667,6.45833333333333,2002-07-13
"20020714","NOIRMOUTIER EN",47.004667,-2.257167,16.7125,12.5375,76.7083333333333,4.70833333333333,2002-07-14
"20020715","NOIRMOUTIER EN",47.004667,-2.257167,19.3041666666667,13.0125,68.625,4.70833333333333,2002-07-15
"20020716","NOIRMOUTIER EN",47.004667,-2.257167,20.4791666666667,14.7458333333333,70.5416666666667,4.29166666666667,2002-07-16
"20020717","NOIRMOUTIER EN",47.004667,-2.257167,18.7125,14.9041666666667,78.875,3.66666666666667,2002-07-17
"20020718","NOIRMOUTIER EN",47.004667,-2.257167,20.2375,13.35,66,4,2002-07-18
"20020719","NOIRMOUTIER EN",47.004667,-2.257167,23.1791666666667,11.6833333333333,50.9166666666667,3.66666666666667,2002-07-19
"20020720","NOIRMOUTIER EN",47.004667,-2.257167,22.4625,12.3583333333333,54.625,4.125,2002-07-20
"20020721","NOIRMOUTIER EN",47.004667,-2.257167,17.4916666666667,11.7791666666667,69.7083333333333,4.70833333333333,2002-07-21
"20020722","NOIRMOUTIER EN",47.004667,-2.257167,18.3125,12.4083333333333,69.875,4.5,2002-07-22
"20020723","NOIRMOUTIER EN",47.004667,-2.257167,17.1541666666667,13.0041666666667,76.9583333333333,5.375,2002-07-23
"20020724","NOIRMOUTIER EN",47.004667,-2.257167,17.6791666666667,14.2166666666667,80.4166666666667,6.375,2002-07-24
"20020725","NOIRMOUTIER EN",47.004667,-2.257167,17.6708333333333,15.3333333333333,86.25,3.70833333333333,2002-07-25
"20020726","NOIRMOUTIER EN",47.004667,-2.257167,18.3791666666667,14.5666666666667,79.0416666666667,2.375,2002-07-26
"20020727","NOIRMOUTIER EN",47.004667,-2.257167,19.3041666666667,15.2125,78.25,3.41666666666667,2002-07-27
"20020728","NOIRMOUTIER EN",47.004667,-2.257167,19.05,15.9,82.4166666666667,4.83333333333333,2002-07-28
"20020729","NOIRMOUTIER EN",47.004667,-2.257167,18.6916666666667,15.3791666666667,81.2916666666667,3.95833333333333,2002-07-29
